Location,2013,2050,Increment,Region
Afghanistan,31395000,56511000,678810.8,Middle East,
Albania,2705000,2705000,0,Europe,
Algeria,34076250,54522000,552587.8,Northern Africa,
Andorra,70080,63072,-189.4,Europe,
Angola,21807027.1,61059676,1060882.4,Middle Africa,
Antigua and Barbuda,86256.9,112134,699.4,Caribbean,
Argentina,41494752.1,58092653,448591.9,South America,
Armenia,3041000,3041000,0,Asia,
Australia,22766666.7,34150000,307657.7,Oceania,
Austria,8482727.3,9331000,22926.3,Europe,
Azerbaijan,9532500,11439000,51527,Asia,
Bahamas,357433.1,464663,2898.1,Caribbean,
Bahrain,1164285.7,1630000,12586.9,Middle East,
Bangladesh,155344615.4,201948000,1259550.9,Asia,
Barbados,255450.9,280996,690.4,Caribbean,
Belarus,9927776.3,7942221,-53663.7,Europe,
Belgium,10914166.7,13097000,58995.5,Europe,
Belize,330001.7,594003,7135.2,Central America,
Benin,9623710.8,23096906,364140.4,Western Africa,
Bhutan,710666.7,1066000,9603.6,Asia,
Bolivia,10906161.3,17449858,176856.7,South America,
Bosnia-Herzegovina,3706666.7,3336000,-10018,Europe,
Botswana,1833197.9,2566477,19818.4,Southern Africa,
Brazil,189566388.3,227479666,1024683.2,South America,
Brunei,408461.5,531000,3311.9,Asia,
Bulgaria,7185000,5748000,-38837.8,Europe,
Burkina Faso,17903578.9,48339663,822596.9,Western Africa,
Burundi,11003020.4,28607853,475806.3,Eastern Africa,
Cambodia,14321333.3,21482000,193531.5,Asia,
Cameroon,21908229.2,52579750,828960,Middle Africa,
Canada,34589285.7,48425000,373938.2,North America,
Cape Verde,504630.8,656020,4091.6,Western Africa,
Central African Republic,4633737.1,9730848,137759.8,Middle Africa,
Chad,12213772.8,35419941,627193.7,Middle Africa,
Channel Islands,159090.9,175000,430,Europe,
Chile,17304733.3,20765680,93539.1,South America,
China,1314423000,1314423000,0,Asia,
Colombia,48122841.5,62559694,390185.2,South America,
Comoros,773458.1,1624262,22994.7,Eastern Africa,
Congo,4315560.4,10357345,163291.5,Middle Africa,
Congo Dem. Rep. of,69942228.8,181849795,3024528.8,Middle Africa,
Costa Rica,4686975.4,6093068,38002.5,Central America,
Cote d'Ivoire,20980961.9,44060020,623758.3,Western Africa,
Croatia,4468750,3575000,-24155.4,Europe,
Cuba,11726522.5,9381218,-63386.6,Caribbean,
Curacao,161691.8,177861,437,Caribbean,
Cyprus,1095384.6,1424000,8881.5,Europe,
Czech Republic,10572000,10572000,0,Europe,
Denmark,5578181.8,6136000,15076.2,Europe,
Djibouti,953896.3,1526234,15468.6,Eastern Africa,
Dominica,70000,63000,-189.2,Caribbean,
Dominican Republic,10105303.8,13136895,81934.9,Caribbean,
Ecuador,15584941.3,23377412,210607.3,South America,
Egypt,73925882.4,125674000,1398597.8,Northern Africa,
El Salvador,6250020,6875022,16891.9,Central America,
Equatorial Guinea,776890.5,1631470,23096.7,Middle Africa,
Eritrea,5665201.7,13029964,199047.6,Eastern Africa,
Estonia,1338888.9,1205000,-3618.6,Europe,
Ethiopia,88910513.5,177821027,2402986.9,Eastern Africa,
Federated States of Micronesia,109000,109000,0,Oceania,
Fiji,884166.7,1061000,4779.3,Oceania,
Finland,5528181.8,6081000,14941,Europe,
France,65704545.5,72275000,177579.9,Europe,
French Guiana,243393,559804,8551.6,South America,
French Polynesia,281666.7,338000,1522.5,Oceania,
Gabon,1581567,3163134,42745.1,Middle Africa,
Gambia,1906773.1,4957610,82455.1,Western Africa,
Georgia,4830000,3381000,-39162.2,Asia,
Germany,84691111.1,76222000,-228894.9,Europe,
Ghana,25551577.8,45992840,552466.5,Western Africa,
Greece,10818888.9,9737000,-29240.2,Europe,
Grenada,111791.1,100612,-302.1,Caribbean,
Guadeloupe,392822.7,432105,1061.7,Caribbean,
Guam,168333.3,202000,909.9,Oceania,
Guatemala,15672764,31345528,423588.2,Central America,
Guinea,11697950,24565695,347776.9,Western Africa,
Guinea-Bissau,1642038.6,3448281,48817.4,Western Africa,
Guyana,815663,815663,0,South America,
Haiti,10383235.6,16613177,168376.8,Caribbean,
Honduras,8550708.2,14536204,161770.2,Central America,
Hong Kong SAR,7141666.7,8570000,38603.6,Asia,
Hungary,10134444.4,9121000,-27390.4,Europe,
Iceland,323076.9,420000,2619.5,Europe,
India,1270446153.8,1651580000,10300914.8,Asia,
Indonesia,244106000,366159000,3298729.7,Asia,
Iran,76457692.3,99395000,619927.2,Middle East,
Iraq,34615000,83076000,1309756.8,Middle East,
Ireland,4662500,5595000,25202.7,Europe,
Israel,8170000,13889000,154567.6,Middle East,
Italy,62228000,62228000,0,Europe,
Jamaica,2756564,2756564,0,Caribbean,
Japan,121345000,97076000,-655918.9,Asia,
Jordan,7265555.6,13078000,157093.1,Middle East,
Kazakhstan,17115714.3,23962000,185034.7,Asia,
Kenya,44000479.5,96801055,1427042.6,Eastern Africa,
Kiribati,108666.7,163000,1468.5,Oceania,
Korea North,24517272.7,26969000,66262.9,Asia,
Korea South,48121000,48121000,0,Asia,
Kosovo,1828333.3,2194000,9882.9,Europe,
Kuwait,3550588.2,6036000,67173.3,Middle East,
Kyrgyzstan,5785333.3,8678000,78180.2,Asia,
Laos,6975384.6,9068000,56557.2,Asia,
Latvia,2046250,1637000,-11060.8,Europe,
Lebanon,4832727.3,5316000,13061.4,Middle East,
Lesotho,2175050,3045070,23514.1,Southern Africa,
Liberia,4445674.6,10669619,168214.7,Western Africa,
Libya,6751390.8,8776808,54741,Africa,
Liechtenstein,36830,44196,199.1,Europe,
Lithuania,2816666.7,2535000,-7612.6,Europe,
Luxembourg,556923.1,724000,4515.6,Europe,
Macao SAR,588571.4,824000,6362.9,Asia,
Macedonia,2050000,1845000,-5540.5,Europe,
Madagascar,22745494.6,54589187,860640.3,Eastern Africa,
Malawi,16456831.6,41142079,667168.8,Eastern Africa,
Malaysia,29511428.6,41316000,319042.5,Asia,
Maldives,357333.3,536000,4828.8,Asia,
Mali,15489166.7,37174000,586076.6,Western Africa,
Malta,446363.6,491000,1206.4,Europe,
Marshall Islands,55454.5,61000,149.9,Oceania,
Martinique,382219,382219,0,Caribbean,
Mauritania,3780089.5,7560179,102164.6,Western Africa,
Mauritius,1282058,1282058,0,Eastern Africa,
Mayotte,221258.8,531021,8372,Eastern Africa,
Mexico,115407721.5,150030038,935738.3,Central America,
Moldova,4187142.9,2931000,-33949.8,Europe,
Monaco,37857.1,53000,409.3,Europe,
Mongolia,2824666.7,4237000,38171.2,Asia,
Montenegro,630833.3,757000,3409.9,Europe,
Morocco,33422817.7,43449663,270995.8,Africa,
Mozambique,24358149.6,63331189,1053325.4,Eastern Africa,
Myanmar,53313636.4,58645000,144090.9,Asia,
Namibia,2448038.1,3916861,39697.9,Southern Africa,
Nauru,10743.3,16115,145.2,Oceania,
Nepal,27063846.2,35183000,219436.6,Asia,
Netherlands,16234545.5,17858000,43877.1,Europe,
New Caledonia,266923.1,347000,2164.2,Oceania,
New Zealand,4417692.3,5743000,35819.1,Oceania,
Nicaragua,5931280,8303792,64121.9,Central America,
Niger,16883559.5,65845882,1323306,Western Africa,
Nigeria,176142000,440355000,7140891.9,Western Africa,
Norway,5139230.8,6681000,41669.4,Europe,
Oman,3967857.1,5555000,42895.8,Middle East,
Pakistan,191148421.1,363182000,4649556.2,Asia,
Palau,20417.3,22459,55.2,Oceania,
Palestinian Territory,4333809.5,9101000,128843,Middle East,
Panama,3897970.7,5846956,52675.3,Central America,
Papua New Guinea,7372777.8,13271000,159411.4,Oceania,
Paraguay,6958876,10438314,94038.9,South America,
Peru,30854615.4,40111000,250172.6,South America,
Philippines,94957500,151932000,1539851.4,Oceania,
Poland,38163333.3,34347000,-103144.1,Europe,
Portugal,10863750,8691000,-58723,Europe,
Puerto Rico,3558462,3558462,0,Caribbean,
Qatar,2132142.9,2985000,23050.2,Middle East,
Reunion,832666.7,1249000,11252.3,Eastern Africa,
Romania,20536666.7,18483000,-55504.5,Europe,
Russia,147104444.4,132394000,-397579.6,Europe,
Rwanda,10888387.3,23954452,353136.9,Eastern Africa,
Samoa,196363.6,216000,530.7,Oceania,
San Marino,31980,35178,86.4,Europe,
Sao Tome and Principe,186163.5,428176,6540.9,Middle Africa,
Saudi Arabia,29168125,46669000,472996.6,Middle East,
Senegal,13673953.5,31450093,480436.2,Western Africa,
Serbia,7051111.1,6346000,-19057.1,Europe,
Seychelles,91169.1,100286,246.4,Eastern Africa,
Sierra Leone,6205469.4,10549298,117400.8,Western Africa,
Singapore,5466923.1,7107000,44326.4,Asia,
Slovakia,5507777.8,4957000,-14885.9,Europe,
Slovenia,2090000,2090000,0,Europe,
Solomon Islands,590500,1181000,15959.5,Oceania,
Somalia,10302205.4,26785734,445500.8,Eastern Africa,
South Africa,53013333.3,63616000,286558.6,Southern Africa,
South Sudan,9746005,21441211,316086.6,Northern Africa,
Spain,47040000,42336000,-127135.1,Europe,
Sri Lanka,20880909.1,22969000,56434.9,Asia,
St. Kitts-Nevis,53636.4,59000,145,Carribean,
St. Lucia,175886.4,193475,475.4,Carribean,
St. Vincent & the Grenadines,106683.3,128020,576.7,Carribean,
Sudan,34731130,69462260,938679.2,Northern Africa,
Suriname,540725.8,648871,2922.8,South America,
Swaziland,1199499.3,1799249,16209.5,Southern Africa,
Sweden,9452500,11343000,51094.6,Europe,
Switzerland,8162727.3,8979000,22061.4,Europe,
Syria,21591764.7,36706000,408492.8,Middle East,
Taiwan,23328888.9,20996000,-63051.1,Asia,
Tajikistan,8211052.6,15601000,199728.3,Asia,
Tanzania,49643385.4,129072802,2146741,Eastern Africa,
Thailand,67754444.4,60979000,-183120.1,Asia,
Timor-Leste,1120000,1792000,18162.2,Asia,
Togo,6257187.6,13140094,186024.5,Western Africa,
Tonga,102500,123000,554.1,Oceania,
Trinidad and Tobago,1287093.3,1158384,-3478.6,Caribbean,
Tunisia,10917586.7,13101104,59014,Northern Africa,
Turkey,77896666.7,93476000,421063.1,Europe,
Turkmenistan,5053846.2,6570000,40977.1,Asia,
Tuvalu,11548.3,13858,62.4,Oceania,
Uganda,36744650.6,113908417,2085507.2,Africa,
Ukraine,48374285.7,33862000,-392223.9,Europe,
United Arab Emirates,9105294.1,15479000,172262.3,Middle East,
United Kingdom,65687500,78825000,355067.6,Europe,
United States,307540769.2,399803000,2493573.8,North America,
Uruguay,3307498.2,3638248,8939.2,South America,
Uzbekistan,30972142.9,43361000,334834,Asia,
Vanuatu,268333.3,483000,5801.8,Oceania,
Venezuela,29000000,40600000,313513.5,South America,
Vietnam,90730000,108876000,490432.4,Asia,
Western Sahara,581000,871500,7851.4,Northern Africa,
Yemen,24931904.8,52357000,741218.8,Middle East,
Zambia,14055938.8,47790192,911736.6,Eastern Africa,
Zimbabwe,13204255.2,27728936,392558.9,Eastern Africa,
